,Média,Desvio Padrão,Limite,Método,Limite Inferior,Limite Superior
0,0.3993464052287583,0.024707265583576204,"(0.3905051862508785, 0.4081876242066381)",ZeroR,0.3905051862508785,0.4081876242066381
1,0.365359477124183,0.0893474650628109,"(0.3333874848749121, 0.39733146937345387)",Aleatório,0.3333874848749121,0.39733146937345387
2,0.31481481481481477,0.09385149570539565,"(0.2812311055157768, 0.34839852411385275)",Aleatório Estratificado,0.2812311055157768,0.34839852411385275
3,0.6045751633986928,0.10960792758099126,"(0.565353190972116, 0.6437971358252695)",OneR Probabilístico,0.565353190972116,0.6437971358252695
4,0.9734204793028323,0.0482047991331875,"(0.9561709304412, 0.9906700281644645)",Naive Bayes Gaussiano,0.9561709304412,0.9906700281644645
5,0.9679738562091502,0.04549726987797317,"(0.9516931664449925, 0.984254545973308)",KmeansCentroides,0.9516931664449925,0.984254545973308
6,0.9736383442265794,0.040536343722078094,"(0.9591328664675298, 0.9881438219856289)",KGACentroides,0.9591328664675298,0.9881438219856289
7,0.9604575163398692,0.05318771771984477,"(0.9414248857274637, 0.9794901469522747)",Knn,0.9414248857274637,0.9794901469522747
8,0.9584967320261437,0.054918492686831376,"(0.9388447629267332, 0.9781487011255542)",DistKnn,0.9388447629267332,0.9781487011255542
9,0.8916122004357298,0.07630600379448177,"(0.8643069494118205, 0.918917451459639)",Árvore de Decisão,0.8643069494118205,0.918917451459639
10,0.9812636165577342,0.033379579749243,"(0.9693191068363172, 0.9932081262791512)",Florestas de Árvores,0.9693191068363172,0.9932081262791512
